Model,Mean Reward,Std Reward,Mean Length,Skip Rate (%),Full Rate (%),Diversity,Serendipity,Coverage (%)
SAC,8.120969143403011,5.590741392723479,11.14,19.26060868955606,41.61191221059642,0.2718397173875156,0.126632524248703,1.7133506593512366
CQL,6.210241718335494,5.409114458992644,10.54,22.171752920282334,30.565184651949355,0.09656944099317176,0.03562690377905387,1.2128212532486284
